epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9229,0.96664,2.26067,1.35023,0.42536,0.46541,0.44443,0.22686,1.77274,4.51941,2.59812,0.000656085,0.000656085,0.000656085
2,55.9136,1.26017,1.32326,1.53212,0.4757,0.3522,0.33844,0.14187,2.33513,2.91561,3.49094,0.00130093,0.00130093,0.00130093
3,79.3487,1.33532,1.32116,1.56841,0.30344,0.41824,0.27033,0.10912,2.06907,3.81767,2.72001,0.00192377,0.00192377,0.00192377
4,102.187,1.32711,1.30096,1.554,0.46921,0.46855,0.46333,0.22751,1.79228,6.0917,2.48226,0.001901,0.001901,0.001901
5,125.729,1.27296,1.19009,1.51569,0.42029,0.43396,0.34711,0.16982,1.94483,2.63875,2.58962,0.001868,0.001868,0.001868
6,149.064,1.28905,1.23524,1.5358,0.6552,0.54717,0.58412,0.34758,1.56567,1.88124,1.98101,0.001835,0.001835,0.001835
7,172.665,1.1981,1.14064,1.45825,0.75943,0.77358,0.84085,0.56929,1.21221,1.67723,1.6341,0.001802,0.001802,0.001802
8,195.812,1.14261,1.08038,1.42443,0.71501,0.6943,0.73823,0.50097,1.15611,1.371,1.60817,0.001769,0.001769,0.001769
9,218.24,1.09202,0.98162,1.3729,0.69623,0.7784,0.79556,0.57409,1.08514,1.06673,1.60803,0.001736,0.001736,0.001736
10,241.366,1.08906,0.99894,1.37461,0.7834,0.69497,0.77476,0.524,1.15671,1.11253,1.61282,0.001703,0.001703,0.001703
11,264.77,1.02953,0.96225,1.33642,0.73783,0.72013,0.782,0.56978,1.05887,1.18723,1.51448,0.00167,0.00167,0.00167
12,288.515,1.06672,0.95057,1.36923,0.84228,0.7725,0.86757,0.61316,1.08055,1.08209,1.5456,0.001637,0.001637,0.001637
13,312.284,1.00055,0.88943,1.3172,0.89444,0.7956,0.89695,0.68234,0.93045,0.78245,1.39088,0.001604,0.001604,0.001604
14,335.504,0.96408,0.86362,1.29552,0.76431,0.71383,0.78222,0.57954,1.08562,1.02155,1.57024,0.001571,0.001571,0.001571
15,358.643,0.94208,0.8407,1.29872,0.89775,0.74528,0.8857,0.67668,0.84701,0.77561,1.31815,0.001538,0.001538,0.001538
16,382.449,0.93861,0.81511,1.28545,0.83266,0.81132,0.89163,0.68367,0.8525,0.99008,1.29026,0.001505,0.001505,0.001505
17,405.94,0.91541,0.81537,1.27547,0.89839,0.81132,0.88428,0.64902,0.99564,0.98593,1.45313,0.001472,0.001472,0.001472
18,429.369,0.88772,0.78455,1.26227,0.86672,0.85886,0.92485,0.73035,0.7933,0.66997,1.25941,0.001439,0.001439,0.001439
19,452.728,0.85697,0.73226,1.22528,0.92283,0.90256,0.96819,0.78201,0.7595,0.55105,1.20369,0.001406,0.001406,0.001406
20,475.426,0.84758,0.75194,1.22783,0.90391,0.88748,0.95735,0.76606,0.74638,0.57944,1.21279,0.001373,0.001373,0.001373
21,498.498,0.83245,0.7272,1.21914,0.91705,0.88679,0.95747,0.78654,0.71892,0.65393,1.19704,0.00134,0.00134,0.00134
22,521.763,0.80215,0.70131,1.20894,0.918,0.91824,0.95148,0.78624,0.70045,0.55319,1.17107,0.001307,0.001307,0.001307
23,545.047,0.78368,0.67049,1.19293,0.94416,0.89308,0.96083,0.80229,0.68251,0.54585,1.17167,0.001274,0.001274,0.001274
24,568.188,0.81125,0.68101,1.19183,0.94791,0.8805,0.94806,0.78651,0.69634,0.54132,1.17179,0.001241,0.001241,0.001241
25,590.846,0.78173,0.70395,1.19162,0.94892,0.89308,0.96038,0.79811,0.6769,0.52842,1.16183,0.001208,0.001208,0.001208
26,614.043,0.78238,0.67231,1.18551,0.97002,0.91572,0.96359,0.79295,0.68431,0.50647,1.16523,0.001175,0.001175,0.001175
27,637.458,0.73879,0.64341,1.16755,0.92552,0.89872,0.96412,0.82056,0.61625,0.56689,1.12277,0.001142,0.001142,0.001142
28,660.915,0.75961,0.65499,1.17397,0.94877,0.93182,0.97184,0.81769,0.63421,0.47094,1.14365,0.001109,0.001109,0.001109
29,684.036,0.75864,0.66129,1.17557,0.92061,0.9116,0.96165,0.79049,0.69153,0.50944,1.14892,0.001076,0.001076,0.001076
30,706.54,0.73531,0.62523,1.14876,0.92329,0.89308,0.95394,0.79978,0.6579,0.52011,1.13421,0.001043,0.001043,0.001043
31,729.546,0.70572,0.59094,1.15358,0.97349,0.90881,0.97732,0.84127,0.58605,0.441,1.06074,0.00101,0.00101,0.00101
32,752.907,0.73528,0.6155,1.16025,0.92472,0.90881,0.96278,0.81896,0.62449,0.49853,1.13025,0.000977,0.000977,0.000977
33,776.442,0.69921,0.60234,1.13235,0.96215,0.87923,0.94879,0.81491,0.62274,0.48119,1.12734,0.000944,0.000944,0.000944
34,799.809,0.68359,0.5841,1.14103,0.97254,0.90566,0.96915,0.84391,0.56957,0.44925,1.08183,0.000911,0.000911,0.000911
35,822.819,0.69827,0.56695,1.14107,0.98003,0.92582,0.97411,0.85276,0.54626,0.41561,1.04037,0.000878,0.000878,0.000878
36,845.903,0.69694,0.57096,1.13247,0.9584,0.92138,0.96731,0.83299,0.61223,0.44585,1.10291,0.000845,0.000845,0.000845
37,869.275,0.70338,0.56359,1.14294,0.97211,0.94025,0.9842,0.8444,0.59322,0.40121,1.07211,0.000812,0.000812,0.000812
38,892.646,0.68571,0.54954,1.13528,0.96028,0.92138,0.97376,0.8354,0.60492,0.45371,1.10363,0.000779,0.000779,0.000779
39,915.996,0.66569,0.5473,1.12375,0.96742,0.93366,0.97694,0.85751,0.54689,0.37748,1.05972,0.000746,0.000746,0.000746
40,939.207,0.64081,0.52089,1.11099,0.97694,0.93272,0.9792,0.87476,0.52054,0.36911,1.03065,0.000713,0.000713,0.000713
41,961.84,0.6629,0.53494,1.12684,0.9726,0.95283,0.98446,0.88257,0.50189,0.3661,1.01337,0.00068,0.00068,0.00068
42,985.308,0.66232,0.54963,1.11511,0.98001,0.92507,0.98161,0.87707,0.50964,0.37744,1.02866,0.000647,0.000647,0.000647
43,1008.54,0.63209,0.50618,1.09386,0.98985,0.92031,0.98358,0.87718,0.50507,0.36026,1.01878,0.000614,0.000614,0.000614
44,1031.78,0.60799,0.4893,1.07971,0.97409,0.94587,0.98736,0.88098,0.48494,0.34822,1.00431,0.000581,0.000581,0.000581
45,1055.02,0.63921,0.51496,1.10969,0.96434,0.93082,0.98153,0.8809,0.47865,0.38017,1.00722,0.000548,0.000548,0.000548
46,1077.5,0.64775,0.51035,1.11338,0.95568,0.94943,0.98295,0.87913,0.49532,0.35642,1.01687,0.000515,0.000515,0.000515
47,1100.73,0.61985,0.4989,1.09668,0.98748,0.95597,0.99104,0.88814,0.47773,0.33469,1.00531,0.000482,0.000482,0.000482
48,1124.18,0.5888,0.47862,1.07074,0.99574,0.94654,0.98956,0.89695,0.46226,0.33266,0.98266,0.000449,0.000449,0.000449
49,1147.55,0.58884,0.4679,1.07505,0.98074,0.93396,0.98289,0.89592,0.45673,0.33593,0.99018,0.000416,0.000416,0.000416
50,1170.71,0.5789,0.48205,1.06808,0.98449,0.94025,0.98331,0.89214,0.47284,0.32795,0.98553,0.000383,0.000383,0.000383
51,1194.57,0.45249,0.3704,1.02647,0.97915,0.94969,0.98664,0.8939,0.43476,0.32262,0.96601,0.00035,0.00035,0.00035
52,1217.05,0.43776,0.33432,1.00186,0.97122,0.95514,0.98996,0.89205,0.46149,0.32656,0.98111,0.000317,0.000317,0.000317
53,1239.61,0.41355,0.32015,0.99733,0.98477,0.95597,0.99134,0.90203,0.44459,0.30563,0.96958,0.000284,0.000284,0.000284
54,1262.21,0.41755,0.31144,0.9911,0.98684,0.94302,0.98897,0.90846,0.42989,0.30182,0.9578,0.000251,0.000251,0.000251
55,1284.55,0.4039,0.31197,0.97934,0.97685,0.96226,0.99163,0.90795,0.43129,0.29437,0.96453,0.000218,0.000218,0.000218
56,1306.62,0.39342,0.30427,0.9721,0.98865,0.94969,0.98939,0.91029,0.41333,0.28656,0.95342,0.000185,0.000185,0.000185
57,1329.47,0.39528,0.29773,0.97267,0.99342,0.94943,0.99044,0.91198,0.40968,0.28269,0.9432,0.000152,0.000152,0.000152
58,1352.24,0.38546,0.28419,0.97249,0.99007,0.95283,0.99107,0.91477,0.40197,0.28168,0.93967,0.000119,0.000119,0.000119
59,1374.78,0.37043,0.2717,0.94907,0.99343,0.95033,0.99128,0.91155,0.39759,0.27074,0.93818,8.6e-05,8.6e-05,8.6e-05
60,1396.85,0.36267,0.27763,0.94254,0.99346,0.95556,0.99076,0.91891,0.39223,0.2686,0.9361,5.3e-05,5.3e-05,5.3e-05
